Artist,Title,ReleaseDates,Certification,Label,Sales,Hit,Hit Youtube,CertificationNum
Kris Kross,Da Bomb,8/3/93,Platinum,Ruffhouse/Columbia Records,NA,Da Bomb,https://www.youtube.com/watch?v=JZ1YJn1PkI4,1
Kris Kross,"Young, Rich & Dangerous",1/9/96,Gold,Ruffhouse/Columbia Records,NA,Tonite's tha Night,https://www.youtube.com/watch?v=YOntgsvDddE,0.5
Lil Jon,Put Yo Hood Up (with The East Side Boyz),5/22/01,Gold,"BME Recordings, TVT Records",NA,Bia Bia Remix,https://www.youtube.com/watch?v=czpZvVyQN5o,0.5
Lil Jon,Kings of Crunk (with The East Side Boyz),10/29/02,2x Platinum,"BME Recordings, TVT Records",NA,Get Low,https://www.youtube.com/watch?v=IYH7_GzP4Tg,2
Lil Jon,Crunk Juice (with The East Side Boyz),11/16/04,2x Platinum,"BME Recordings, TVT Records",NA,What U Gon' Do,https://www.youtube.com/watch?v=1jyk4YkvCJ8,2
Lil Scrappy,Trillville & Lil Scrappy (with Triville),2/24/04,Gold,"BME, Reprise, Warner Bros.",NA,No Problem,https://www.youtube.com/watch?v=QQzJqXVq3uI,0.5
Ludacris,Back for the First Time,10/17/00,3x Platinum,"Disturbing tha Peace, Def Jam",NA,Southern Hospitality,https://www.youtube.com/watch?v=so5XDNmFtd4,3
Ludacris,Word of Mouf,11/6/01,3x Platinum,"Disturbing tha Peace, Def Jam",NA,Move Bitch,https://www.youtube.com/watch?v=tw429JGL5zo,3
Ludacris,Chicken-n-Beer,10/7/03,2x Platinum,"Disturbing tha Peace, Def Jam",NA,Stand Up,https://www.youtube.com/watch?v=pZG7IK99OvI,2
Ludacris,The Red Light District,12/7/04,2x Platinum,"Disturbing tha Peace, Def Jam",NA,Get Back,https://www.youtube.com/watch?v=5yt849wJyVk,2
Ludacris,Release Therapy,9/26/06,Platinum,"Disturbing tha Peace, Def Jam",NA,Runaway Love,https://www.youtube.com/watch?v=ISvMS6s41vY,1
Ludacris,Theater of the Mind,11/24/08,Gold,"Disturbing tha Peace, Def Jam",NA,One More Drink,https://www.youtube.com/watch?v=tzZFE-9gb7Q,0.5
Ludacris,Battle of the Sexes,3/9/10,Gold,"Disturbing tha Peace, Def Jam",NA,My Chick Bad,https://www.youtube.com/watch?v=JqHliQijgvA,0.5
Migos,Culture,1/27/17,Platinum,"Quality Control, YRN the Label, 300, Atlantic",NA,Bad and Boujee,https://www.youtube.com/watch?v=S-sJp1FfG7Q,1
Migos,Culture II,1/26/18,Platinum,"Quality Control, Capitol, Motown",NA,MotorSport,https://www.youtube.com/watch?v=9v_rtaye2yY,1
OutKast,Southernplayalisticadillacmuzik,4/26/94,Platinum,"LaFace, Arista, RCA",NA,Player's Ball,https://www.youtube.com/watch?v=vFofKGKlWo4,1
OutKast,ATLiens,8/27/96,2x Platinum,"LaFace, Arista, RCA",NA,Elevators (Me & You),https://www.youtube.com/watch?v=uqB_UVlhlPA,2
OutKast,Aquemini,9/29/98,2x Platinum,"LaFace, Arista, RCA",NA,Rosa Parks,https://www.youtube.com/watch?v=drsQLEU0N1Y,2
OutKast,Stankonia,10/31/00,4x Platinum,"LaFace, Arista, RCA",NA,Ms. Jackson,https://www.youtube.com/watch?v=MYxAiK6VnXw,4
OutKast,Speakerboxxx/The Love Below,9/23/03,Diamond,"LaFace, Arista, RCA",NA,Hey Ya!,https://www.youtube.com/watch?v=PWgvGjAhvIw,10
OutKast,Idlewild,8/22/06,Platinum,"LaFace, Zomba",NA,Morris Brown,https://www.youtube.com/watch?v=VHNSmlZ9Rwo,1
Rich The Kid,The World Is Yours,3/30/18,Gold,"Rich Forever, Interscope",NA,Plug Walk,https://www.youtube.com/watch?v=ToY6sjSV8h8,0.5
Russ,There's Really a Wolf,5/5/17,Platinum,"Diemon, Columbia",NA,Losin Control,https://www.youtube.com/watch?v=IdGIZjVWrzY,1
T.I.,Trap Muzik,8/19/03,Platinum,"Grand Hustle, Atlantic",NA,24's,https://www.youtube.com/watch?v=E1u9u7mq9Ck,1
T.I.,Urban Legend,11/30/04,Platinum,"Grand Hustle, Atlantic",NA,U Don't Know Me,https://www.youtube.com/watch?v=z9H5_zDoBrU,1
T.I.,King,3/28/06,2x Platinum,"Grand Hustle, Atlantic",NA,Top Back Remix,https://www.youtube.com/watch?v=VzAY-o8ew9w,2
T.I.,T.I. vs. T.I.P.,7/3/07,Platinum,"Grand Hustle, Atlantic",NA,Big Things Poppin' (Do It),https://www.youtube.com/watch?v=uVMYFfBo3g8,1
T.I.,Paper Trail,9/30/08,2x Platinum,"Grand Hustle, Atlantic",NA,Whatever You Like,https://www.youtube.com/watch?v=nQJACVmankY,2
T.I.,No Mercy,12/7/10,Gold,"Grand Hustle, Atlantic",NA,Got Your Back,https://www.youtube.com/watch?v=gk2yOxTuLck,0.5
T.I.,Trouble Man: Heavy Is the Head,12/18/12,Gold,"Grand Hustle, Atlantic",NA,Go Get It,https://www.youtube.com/watch?v=xvM3YwmDfwE,0.5
Ying Yang Twins,Me & My Brother,9/16/03,Platinum,TVT,NA,Salt Shaker,https://www.youtube.com/watch?v=aJEzl31zL-I,1
Ying Yang Twins,U.S.A. (United State of Atlanta),6/28/05,Platinum,TVT,NA,Wait (The Whisper Song),https://www.youtube.com/watch?v=fYNQzqNqzdc,1
Young Jeezy,Let's Get It: Thug Motivation 101,7/26/05,Platinum,"CTE, Def Jam",NA,Soul Survivor,https://www.youtube.com/watch?v=gczBgNB-p1w,1
Young Jeezy,The Inspiration,12/12/06,Platinum,"CTE, Def Jam",NA,I Luv It,https://www.youtube.com/watch?v=wUjfWwqFcFI,1
Young Jeezy,The Recession,9/2/08,Gold,"CTE, Def Jam",NA,Put On,https://www.youtube.com/watch?v=1aEImx74gLA,0.5
Young Jeezy,TM:103 Hustlerz Ambition,12/20/11,Gold,"CTE, Def Jam",NA,Lose My Mind,https://www.youtube.com/watch?v=Tsmqrk7Wgsk,0.5
